first,second
securityId:11,SYG
securityId:1,PGR
securityId:24,GLD
securityId:26,NGPLT
securityId:4,AFT
securityId:3,CML
securityId:32,TOPT2
securityId:30,TCP
securityId:14,SBPP
securityId:2,AIL
securityId:25,NGPLD
securityId:16,ZCL
securityId:19,THA
securityId:33,FVT
securityId:28,IVT
securityId:34,REN
securityId:22,NRP
securityId:18,SNT
securityId:6,HUG
securityId:13,SBK
securityId:17,NPN
securityId:20,APN
securityId:9,ACG
securityId:31,SWXT2
securityId:15,ARI
securityId:7,SLM
securityId:36,CLH
securityId:27,VUN
securityId:23,EQU
securityId:21,MRP
securityId:12,AVI
securityId:10,GRT
securityId:8,ASC
securityId:29,IVTP
securityId:35,SOL
securityId:5,SDC